Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,84,-57.5,180,top
C2,0.1uF,C_0805_2012Metric,120.95,-83.18,0,top
J1,Conn_01x05_Pin,PinHeader_1x05_P2.54mm_Vertical,98,-59,90,top
J2,JST_XH_FEMALE,PinHeader_1x10_P2.00mm_Vertical,72.55,-80.5,180,top
J3,JST_XH_FEMALE_1,PinHeader_1x10_P2.00mm_Vertical,129.5,-62.68,0,top
R1,10k,R_0805_2012Metric,98,-86.225,-90,top
R2,10k,R_0805_2012Metric,102,-86.225,-90,top
R3,10k,R_0805_2012Metric,105.917136,-86.227073,-90,top
R4,10k,R_0805_2012Metric,95,-64.9125,90,top
R5,10k,R_0805_2012Metric,91.591776,-64.924363,90,top
R6,10k,R_0805_2012Metric,99.138456,-64.542667,90,top
R7,10k,R_0805_2012Metric,111,-64,90,top
R8,1k,R_0805_2012Metric,103.72329,-55.267432,-90,top
R9,1k,R_0805_2012Metric,100.54079,-55.267432,-90,top
U1,ULN2803A,DIP-18_W7.62mm,87.55,-80.5,180,top
U2,ULN2803A,DIP-18_W7.62mm,117,-60.18,0,top
U3,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,102.8625,-71.725,0,top